Transaction Summary for April 27, 2015 to April 26, 2016
Transactions: 600     This report has been truncated because it exceeds the maximum limit of 600 transactions. For larger reports, use the Payments reports on the All Statements or Date Range Reports tabs.

Date	Order ID	SKU	Transaction type	Payment Type	Payment Detail	Amount	Quantity	Product Title
Apr 26, 2016	112-5582939-0365029	00-38QH-IBO4	Order Payment	Amazon fees	FBA Order Handling Fee	$-1.00		K&Company Tim Coffey Cottage Garden Grand Adhesions Stickers, Warm Mix
Apr 26, 2016	112-5582939-0365029	00-38QH-IBO4	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-1.06		K&Company Tim Coffey Cottage Garden Grand Adhesions Stickers, Warm Mix
Apr 26, 2016	112-5582939-0365029	00-38QH-IBO4	Order Payment	Amazon fees	FBA Weight Handling Fee	$-0.50		K&Company Tim Coffey Cottage Garden Grand Adhesions Stickers, Warm Mix
Apr 26, 2016	112-5582939-0365029	00-38QH-IBO4	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.05		K&Company Tim Coffey Cottage Garden Grand Adhesions Stickers, Warm Mix
Apr 26, 2016	112-5582939-0365029	00-38QH-IBO4	Order Payment	Product charges		$6.99	1	K&Company Tim Coffey Cottage Garden Grand Adhesions Stickers, Warm Mix
Apr 26, 2016	112-5582939-0365029	00-38QH-IBO4	Order Payment	Promo rebates		$0.00	1	K&Company Tim Coffey Cottage Garden Grand Adhesions Stickers, Warm Mix
Apr 26, 2016	112-5582939-0365029	00-38QH-IBO4	Order Payment	Promo rebates	Shipping	$-0.59		K&Company Tim Coffey Cottage Garden Grand Adhesions Stickers, Warm Mix
Apr 26, 2016	112-5582939-0365029	00-38QH-IBO4	Order Payment	Other	Shipping	$0.59		K&Company Tim Coffey Cottage Garden Grand Adhesions Stickers, Warm Mix
Apr 25, 2016			Service Fees	Amazon fees	FBA Prep Fee: Labeling	$-14.80		
Apr 25, 2016	108-1777633-5857835	746775111854-LBL.GRAVEDIGGER	Order Payment	Amazon fees	FBA Order Handling Fee	$-1.00		Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016	108-1777633-5857835	746775111854-LBL.GRAVEDIGGER	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-1.06		Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016	108-1777633-5857835	746775111854-LBL.GRAVEDIGGER	Order Payment	Amazon fees	FBA Weight Handling Fee	$-0.96		Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016	108-1777633-5857835	746775111854-LBL.GRAVEDIGGER	Order Payment	Amazon fees	Referral Fee on Item Price	$-3.60		Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016	108-1777633-5857835	746775111854-LBL.GRAVEDIGGER	Order Payment	Amazon fees	Shipping Chargeback	$-11.34		Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016	108-1777633-5857835	746775111854-LBL.GRAVEDIGGER	Order Payment	Product charges		$23.99	1	Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016	108-1777633-5857835	746775111854-LBL.GRAVEDIGGER	Order Payment	Other	Shipping	$11.34		Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016			Other	Other	Balance Adjustment	$3.60		
Apr 25, 2016		TRU-32114-279-TRANS.BUMBLEBEE.GAME	Other	FBA Inventory Reimbursement - Damaged:Warehouse		$2.92	1	Transformers Playskool Heroes Rescue Bots Beam Box Bumblebee Game Pack
Apr 25, 2016	116-8589589-9441054	746775111854-LBL.GRAVEDIGGER	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-1.06		Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016	116-8589589-9441054	746775111854-LBL.GRAVEDIGGER	Order Payment	Amazon fees	FBA Weight Handling Fee	$-0.96		Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016	116-8589589-9441054	746775111854-LBL.GRAVEDIGGER	Order Payment	Amazon fees	Referral Fee on Item Price	$-3.60		Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016	116-8589589-9441054	746775111854-LBL.GRAVEDIGGER	Order Payment	Product charges		$23.99	1	Hot Wheels Grave Digger Color Shifters Edition
Apr 25, 2016	105-3118431-3274639	074590808698-L	Order Payment	Amazon fees	FBA Order Handling Fee	$-1.00		Remington SP 19 Titanium MicroFlex Replacement Heads and Cutters for Titanium Microflex Rotary Shavers, Models R-950, R-960, Black
Apr 25, 2016	105-3118431-3274639	074590808698-L	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-1.06		Remington SP 19 Titanium MicroFlex Replacement Heads and Cutters for Titanium Microflex Rotary Shavers, Models R-950, R-960, Black
Apr 25, 2016	105-3118431-3274639	074590808698-L	Order Payment	Amazon fees	FBA Weight Handling Fee	$-0.96		Remington SP 19 Titanium MicroFlex Replacement Heads and Cutters for Titanium Microflex Rotary Shavers, Models R-950, R-960, Black
Apr 25, 2016	105-3118431-3274639	074590808698-L	Order Payment	Amazon fees	Referral Fee on Item Price	$-3.06		Remington SP 19 Titanium MicroFlex Replacement Heads and Cutters for Titanium Microflex Rotary Shavers, Models R-950, R-960, Black
Apr 25, 2016	105-3118431-3274639	074590808698-L	Order Payment	Product charges		$20.42	1	Remington SP 19 Titanium MicroFlex Replacement Heads and Cutters for Titanium Microflex Rotary Shavers, Models R-950, R-960, Black
Apr 25, 2016	103-6354921-4623440	069055854013-L	Order Payment	Amazon fees	FBA Order Handling Fee	$-1.00		Braun Braun 10B
Apr 25, 2016	103-6354921-4623440	069055854013-L	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-1.06		Braun Braun 10B
Apr 25, 2016	103-6354921-4623440	069055854013-L	Order Payment	Amazon fees	FBA Weight Handling Fee	$-0.96		Braun Braun 10B
Apr 25, 2016	103-6354921-4623440	069055854013-L	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.99		Braun Braun 10B
Apr 25, 2016	103-6354921-4623440	069055854013-L	Order Payment	Product charges		$19.96	1	Braun Braun 10B
Apr 25, 2016	109-9637706-2784234	746775198084-C	Order Payment	Amazon fees	FBA Order Handling Fee	$-1.00		Fisher-Price Octonauts Octo-Squirters - Kwazii
Apr 25, 2016	109-9637706-2784234	746775198084-C	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-1.06		Fisher-Price Octonauts Octo-Squirters - Kwazii
Apr 25, 2016	109-9637706-2784234	746775198084-C	Order Payment	Amazon fees	FBA Weight Handling Fee	$-0.50		Fisher-Price Octonauts Octo-Squirters - Kwazii
Apr 25, 2016	109-9637706-2784234	746775198084-C	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.09		Fisher-Price Octonauts Octo-Squirters - Kwazii
Apr 25, 2016	109-9637706-2784234	746775198084-C	Order Payment	Product charges		$7.29	1	Fisher-Price Octonauts Octo-Squirters - Kwazii
Apr 25, 2016	116-4119611-8898647	056035362958-L	Order Payment	Amazon fees	FBA Order Handling Fee	$-1.00		Lowepro Digital Video Case 30 for Camcorders (Black)
Apr 25, 2016	116-4119611-8898647	056035362958-L	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-1.06		Lowepro Digital Video Case 30 for Camcorders (Black)
Apr 25, 2016	116-4119611-8898647	056035362958-L	Order Payment	Amazon fees	FBA Weight Handling Fee	$-0.96		Lowepro Digital Video Case 30 for Camcorders (Black)
Apr 25, 2016	116-4119611-8898647	056035362958-L	Order Payment	Amazon fees	Referral Fee on Item Price	$-3.90		Lowepro Digital Video Case 30 for Camcorders (Black)
Apr 25, 2016	116-4119611-8898647	056035362958-L	Order Payment	Product charges		$25.99	1	Lowepro Digital Video Case 30 for Camcorders (Black)
Apr 25, 2016	103-4709986-6728258	17-4TH1-1CMH	Order Payment	Amazon fees	FBA Order Handling Fee	$-1.00		Crashlings, Series 1 Mini Figures, Insects - 10 Pack - Random Selection
Apr 25, 2016	103-4709986-6728258	17-4TH1-1CMH	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-1.06		Crashlings, Series 1 Mini Figures, Insects - 10 Pack - Random Selection
Apr 25, 2016	103-4709986-6728258	17-4TH1-1CMH	Order Payment	Amazon fees	FBA Weight Handling Fee	$-0.96		Crashlings, Series 1 Mini Figures, Insects - 10 Pack - Random Selection
Apr 25, 2016	103-4709986-6728258	17-4TH1-1CMH	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.65		Crashlings, Series 1 Mini Figures, Insects - 10 Pack - Random Selection
Apr 25, 2016	103-4709986-6728258	17-4TH1-1CMH	Order Payment	Product charges		$10.99	1	Crashlings, Series 1 Mini Figures, Insects - 10 Pack - Random Selection
