return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2016-04-08T04:46:57+00:00	110-3753323-2983464	694202109571_L.U.VERYGOOD	B00ODDOH9A	X000VUT2OP	Discovery Kids Marine Lamp - 12.75" L X 9" H	1	LAS2	SELLABLE	DEFECTIVE	Unit returned to inventory
2016-03-15T00:04:43+00:00	107-9408286-4749832	049022738638_C	B00G04FV0E	B00G04FV0E	Disney Minnie's Music Mat Electronic Piano	1	LEX2	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory
2016-03-10T00:00:47+00:00	110-0630826-0838627	887961225778-C	B016CN94LO	B016CN94LO	Hot Wheels City Stunt & Loop Trackset	1	LAS2	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory
2016-02-26T20:05:29+00:00	110-0034826-7285060	9D-FDJG-8YGV	B00L5KKSHO	X000OTEITH	SpruKits DC Comics The Dark Knight Rises Batman Action Figure Model Kit, Level 2	1	LEX2	CUSTOMER_DAMAGED	SWITCHEROO	Unit returned to inventory
2016-02-26T20:05:29+00:00	110-0034826-7285060	9D-FDJG-8YGV	B00L5KKSHO	X000OTEITH	SpruKits DC Comics The Dark Knight Rises Batman Action Figure Model Kit, Level 2	1	LEX2	CUSTOMER_DAMAGED	SWITCHEROO	Unit returned to inventory
2016-02-26T06:32:08+00:00	106-6091802-8210608	ES-PXWO-7R9J	B00UY6JZYM	B00UY6JZYM	American Crafts 3 Piece Heidi Swapp Minc Transfer Folder	1	LEX2	SELLABLE	UNDELIVERABLE_FAILED_DELIVERY_ATTEMPTS	Unit returned to inventory
2016-02-25T23:08:35+00:00	002-4329054-9653044	886144905971-L	B00BEUATCO	X000WGOZRR	Disney Doc McStuffins Doctor's Bag	1	LAS2	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory
2016-02-21T15:57:40+00:00	108-4400972-7164252	746775094812_C/M	B0084K6MAU	B0084K6MAU	Fisher-Price Growing Baby Animal Activity Gym	1	CVG2	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory
2016-02-16T13:20:36+00:00	110-3720373-4233002	886144128110_C	B00C6VBKL4	B00C6VBKL4	Disney Frozen Pull Apart and Talkin' Olaf	1	LAS2	SELLABLE	FOUND_BETTER_PRICE	Unit returned to inventory
2016-02-09T06:13:07+00:00	002-2547682-5176246	G2-QG9K-APGZ	B00IIA7UIO	X000U76017	Hot Wheels - New Wave 24/32 - DeLorean DMC-12	1	LAS2	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory
2016-02-01T23:42:23+00:00	002-4740683-7764241	IB-9P0C-TLLX	1412744318	X000RUONH5	Disney Pixar Cars (Little First Look and Find) [Board book] [2011] Caleb Burroughs; DiCicco Studios	1	LEX2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory
2016-01-30T08:30:09+00:00	113-8434474-4621004	049022507920-C	B004ANMEZW	B004ANMEZW	Mickey Mouse Clubhouse Minnie Laptop Junior	1	LEX2	CUSTOMER_DAMAGED	DAMAGED_BY_FC	Unit returned to inventory
2016-01-29T09:19:38+00:00	105-4823023-1699460	N9-OJU9-26U8	B00M5AUX3C	B00M5AUX3C	Barbie Fifth Harmony Dinah Doll	1	LAS2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory
2016-01-29T07:07:15+00:00	106-8217526-7713016	978145080217-C/M	145080201X	145080201X	Record a Story: 'Twas the Night Before Christmas [Board book] [2010] Editors of Publications International Ltd.	1	LAS2	SELLABLE	DEFECTIVE	Unit returned to inventory
2016-01-26T06:57:59+00:00	113-7315781-8686653	039897699981_C/M	B00I7YGRCQ	B00I7YGRCQ	MiWorld Collector Pack OPI 10 Piece GelColor Set	1	LEX2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2016-01-26T06:01:06+00:00	111-1579157-1791414	703086694773-C	B0015Z6B34	B0015Z6B34	Yada Yada Yada (Colors May Vary)	1	LEX2	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory
2016-01-22T06:34:20+00:00	106-1883862-6803400	653569740582_L.C.VERYGOOD	B0083TXYDU	X000VUSNM7	Parker Brothers Monopoly Millionaire Deal	1	LAS2	SELLABLE	UNDELIVERABLE_UNKNOWN	Unit returned to inventory
